itemid,label,LEVEL1,LEVEL2,mean,stdev,missing percent
211,heart rate,heart rate,heart rate,85.11720532842624,17.14578928946783,48.41582332025113
618,respiratory rate,respiratory rate,respiratory rate,19.35659067924708,5.72149043767912,49.91458249468185
646,spo2,pulse oximetry,oxygen saturation,97.01037398666018,3.4533884699177464,51.633746093739354
220045,heart rate,heart rate,heart rate,84.77979402854992,17.439690380214795,61.99548014179306
220210,respiratory rate,respiratory rate,respiratory rate,19.248841229116778,5.5209341573016015,62.25504940130507
220277,o2 saturation pulseoxymetry,pulse oximetry,oxygen saturation,96.67304221333126,3.184367241856455,63.02507912477952
455,nbp [systolic],systolic blood pressure (noninvasive),systolic blood pressure,121.230397639588,22.036006580517977,71.97837846679212
8441,nbp [diastolic],diastolic blood pressure (noninvasive),diastolic blood pressure,59.00310847406052,14.830207043264435,72.00423089260384
456,nbp mean,mean blood pressure (noninvasive),mean blood pressure,78.27484762141344,14.700985120202322,72.43122754950808
51,arterial bp [systolic],systolic blood pressure (arterial),systolic blood pressure,122.4598422308359,24.38094574610479,74.59578891698781
8368,arterial bp [diastolic],diastolic blood pressure (arterial),diastolic blood pressure,60.199140917917454,13.450017343018738,74.59724283197195
52,arterial bp mean,mean blood pressure (arterial),mean blood pressure,81.53031031841164,16.761669175275788,74.79583853183665
220181,non invasive blood pressure mean,mean blood pressure (noninvasive),mean blood pressure,77.18891678098579,15.008928988874274,74.9390491577743
220179,non invasive blood pressure systolic,systolic blood pressure (noninvasive),systolic blood pressure,121.0562638189125,21.44518666920878,75.103523290355
220180,non invasive blood pressure diastolic,diastolic blood pressure (noninvasive),diastolic blood pressure,63.595087989249016,14.965460189199723,75.11460939210906
198,gcs total,glascow coma scale total,glascow coma scale total,12.491195240149809,3.5862187630376674,82.83530687147483
113,cvp,central venous pressure,central venous pressure,10.632580330008677,5.414234986671715,86.38276856308673
220052,arterial blood pressure mean,mean blood pressure (arterial),mean blood pressure,81.13097725509262,18.640504934569453,86.91499231696801
220050,arterial blood pressure systolic,systolic blood pressure (arterial),systolic blood pressure,121.49062275107937,22.301672779548586,86.9640619476827
220051,arterial blood pressure diastolic,diastolic blood pressure (arterial),diastolic blood pressure,60.38503379676158,13.425078631319993,86.9679239093593
678,temperature f,temperature (f),temperature,36.94417537610801,0.7951733965054558,87.36275269723947
677,temperature c (calc),temperature (c),temperature,36.94418599385006,0.7951668078227939,87.36288900176923
223761,temperature fahrenheit,temperature (f),temperature,36.84946552379331,0.7444853516123597,90.31997034013432
492,pap [systolic],pulmonary artery pressure systolic,pulmonary artery pressure systolic,38.42374784657554,12.58973918924085,92.71520440681633
811,glucose (70-105),glucose,glucose,135.8276650564689,53.77577466184538,93.23734162549513
190,fio2 set,fraction inspired oxygen set,fraction inspired oxygen set,0.5250663193567442,0.1821460526578486,93.51322199373544
807,fingerstick glucose,glucose,glucose,144.54007815267445,57.77352341408027,93.84339699966469
220074,central venous pressure,central venous pressure,central venous pressure,13.71474093602126,27.775085476206655,93.96938782000896
679,temperature f (calc),temperature (f),temperature,37.24365067569661,0.7381676307438475,94.11691475605578
676,temperature c,temperature (c),temperature,37.24364465740102,0.7381698040381229,94.11691475605578
829,potassium (3.5-5.3),potassium,potassium,4.12624721030722,0.647294553523516,94.25894407606883
813,hematocrit,hematocrit,hematocrit,30.716222552062025,4.9231926598852915,94.85468574081966
1529,glucose,glucose,glucose,132.77146570845528,52.14488532909874,94.87903881680398
225664,glucose finger stick,glucose (finger stick),glucose,150.2282125131326,60.676951053358835,95.40149407938557
780,arterial ph,ph (arterial),ph,7.383238570089742,0.07556471299400914,95.50749356869794
506,peep set,positive end-expiratory pressure set,positive end-expiratory pressure set,6.159088139452178,2.9228705568928013,95.60031695346655
223835,inspired o2 fraction,fraction inspired oxygen,fraction inspired oxygen,0.5334754600602406,0.18898523530865954,95.7089062288444
1535,potassium,potassium,potassium,4.114669913878298,0.6396563912120687,95.70913340306068
615,resp rate (total),respiratory rate (total),respiratory rate,18.586152348383074,6.229763311352868,95.72290016056674
777,arterial co2(calc),"co2 (etco2, pco2, etc.)","co2 (etco2, pco2, etc.)",25.186726967596332,5.287074995636341,95.78560024425772
778,arterial paco2,partial pressure of carbon dioxide (arterial),partial pressure of carbon dioxide,40.848720770486736,9.114166286220714,95.78882611812878
779,arterial pao2,partial pressure of oxygen,partial pressure of oxygen,145.82203657873217,84.89126553607328,95.79586851883319
1126,art.ph,ph (arterial),ph,7.383119686813009,0.07519230566723556,95.80450113905152
837,sodium (135-148),sodium,sodium,138.86951490281783,5.113445697935955,96.09151304388915
116,cardiac index,cardiac index,cardiac index,2.8681865333087906,0.8419530320916925,96.45135700246348
791,creatinine (0-1.3),creatinine,creatinine,1.398509939491243,1.496155142664007,96.49088531609475
781,bun (6-20),blood urea nitrogen,blood urea nitrogen,26.59446128625145,22.09455559225968,96.50792338231511
220545,hematocrit (serum),hematocrit (serum),hematocrit,30.550602759811387,5.2284186129683485,96.50874120949369
828,platelets,platelets,platelets,196.81989868553214,108.88925932977624,96.53195841439667
821,magnesium (1.6-2.6),magnesium,magnesium,2.033241452262932,0.4060717620618758,96.53522972311099
